X,Y,L,a,b,Var_L,Var_a,Var_b
514,570,37,145,133,1.7714564403717943,2.450875654340292,4.54657137387278
581,570,105,152,135,0.9269073983605393,2.18157883373451,4.622781065088761
647,570,63,136,99,0.7384310193364508,2.8106508875739635,3.1833262763650096
714,570,46,122,140,1.4392556546842652,3.3653846153846145,4.806565722988188
448,635,72,132,93,0.3698224852071008,2.9955621301775155,2.9215976331360927
781,635,78,147,97,0.20365377045714378,2.3902280726518015,3.101172183420279
448,701,76,175,111,0.23034645207646334,1.2800987445390515,3.679841765521336
781,701,123,109,120,1.6750031425322087,3.9147877815388434,4.031065088757396
448,767,158,134,182,3.0743966218219914,2.884615384615385,6.513418689536317
514,767,203,134,123,4.858052592814542,2.884615384615385,4.1420118343195265
581,767,175,133,123,3.7319529703272036,2.9215976331360953,4.1420118343195265
647,767,155,133,122,2.961970587137364,2.9585798816568034,4.1050295857988175
714,767,135,134,121,2.174275460483624,2.8945899416682725,4.074001463838647
781,767,110,164,169,1.1750326980282768,1.6992889299847367,5.9866074909353015
448,832,58,174,148,0.9546693786886918,1.2967026622286648,5.140532544378699
514,832,115,133,121,1.3456383032718404,2.9585798816568034,4.068047337278108
581,832,95,132,122,0.5318812375333934,2.9955621301775155,4.1050295857988175
647,832,83,133,120,0.3884414494156405,2.9215976331360953,4.031065088757396
714,832,67,133,120,0.6038177641917204,2.9585798816568034,4.031065088757396
781,832,53,156,76,1.1761059860295564,2.0363886942130334,2.2666498377300734
448,898,80,102,148,0.20810954393692538,4.185820378099216,5.140532544378699
514,898,45,133,120,1.4731205313720164,2.9585798816568034,4.031065088757396
581,898,20,133,120,2.456839631535174,2.9549971764473137,4.008876699834622
647,898,11,132,120,2.836419784755078,2.9750632489783806,4.019111653431668
714,898,8,133,119,2.9560497704599977,2.9215976331360953,3.9940828402366857
781,898,90,176,141,0.398460178887461,1.2204142011834325,4.850077281574063
514,964,31,161,75,2.036176362240861,1.807552270100642,2.226682155471863
581,964,141,149,178,2.4009999214842748,2.309723591507968,6.334445806045999
647,964,136,111,174,2.2004118075172125,3.810518395133571,6.161663697209589
714,964,36,154,101,1.8150082611284915,2.095949305570403,3.254437869822484
