L1,a1,b1,L2,a2,b2,Delta E
128.0,144.0,127.0,128.0,145.0,133.0,6.082762530298219
128.0,153.0,130.0,128.0,152.0,135.0,5.0990195135927845
128.0,138.0,98.0,128.0,136.0,99.0,2.23606797749979
128.0,127.0,132.0,128.0,122.0,140.0,9.433981132056603
128.0,134.0,91.0,128.0,132.0,93.0,2.8284271247461903
128.0,151.0,93.0,128.0,147.0,97.0,5.656854249492381
128.0,173.0,108.0,128.0,175.0,111.0,3.605551275463989
128.0,116.0,114.0,128.0,109.0,120.0,9.219544457292887
128.0,138.0,170.0,128.0,134.0,182.0,12.649110640673518
128.0,163.0,156.0,128.0,164.0,169.0,13.038404810405298
128.0,171.0,138.0,128.0,174.0,148.0,10.44030650891055
128.0,156.0,79.0,128.0,156.0,76.0,3.0
128.0,110.0,139.0,128.0,102.0,148.0,12.041594578792296
128.0,173.0,132.0,128.0,176.0,141.0,9.486832980505138
128.0,158.0,80.0,128.0,161.0,75.0,5.830951894845301
128.0,149.0,160.0,128.0,149.0,178.0,18.0
128.0,119.0,158.0,128.0,111.0,174.0,17.88854381999832
128.0,151.0,102.0,128.0,154.0,101.0,3.1622776601683795
